node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,sevendayavg95ratio
node_000027,77882,egress,vm,dhcp,fullcone,multi,self,direct,浙江,电信,广州,jarvis.B,host,false,on,0.5632
node_000028,30003,idc,vm,staticNetSingle,symmetric,unicom,self,resell,北京,移动,北京,jarvis.C,vm,true,off,0.2231
node_000029,30003,egress,vm,dhcp,fullcone,mobile,agent,direct,湖北,移动,武汉,jarvis.A,vm,true,off,0.5766
node_000030,20002,egress,server,dhcp,symmetric,multi,self,resell,北京,电信,广州,jarvis.B,host,true,on,0.9598
node_000031,30003,idc,vm,dhcp,fullcone,telecom,agent,direct,北京,联通,武汉,jarvis.B,host,true,on,0.8765
node_000032,77882,egress,box,staticNetSingle,fullcone,unicom,agent,resell,广东,电信,成都,jarvis.A,host,true,on,0.1083
node_000033,10001,idc,server,dhcp,fullcone,unicom,agent,resell,浙江,移动,广州,jarvis.B,vm,false,on,0.8193
node_000034,77882,pcdn,server,staticNetSingle,symmetric,telecom,agent,resell,广东,电信,成都,jarvis.B,host,false,on,0.1149
node_000035,77882,pcdn,server,staticNetSingle,symmetric,multi,agent,direct,四川,联通,广州,jarvis.B,vm,true,off,0.7532
node_000036,10001,egress,server,staticNetSingle,symmetric,telecom,agent,resell,浙江,移动,武汉,jarvis.A,host,true,off,0.8905
node_000037,77882,egress,vm,pppoe,symmetric,mobile,agent,resell,四川,联通,成都,jarvis.A,host,false,off,0.4682
node_000038,20002,egress,box,staticNetSingle,fullcone,telecom,agent,direct,北京,联通,广州,jarvis.B,host,true,on,0.5333
node_000039,30003,idc,server,pppoe,fullcone,telecom,agent,resell,四川,联通,北京,jarvis.B,vm,true,on,0.2443
node_000040,77882,egress,box,staticNetSingle,fullcone,unicom,self,direct,广东,电信,杭州,jarvis.C,host,false,off,0.4054
node_000041,77882,egress,server,pppoe,symmetric,multi,self,direct,湖北,联通,杭州,jarvis.A,host,true,off,0.2071
node_000042,20002,idc,vm,pppoe,public,multi,agent,resell,广东,移动,成都,jarvis.C,vm,true,on,0.4942
node_000043,10001,pcdn,box,pppoe,public,unicom,agent,resell,北京,联通,北京,jarvis.A,host,false,off,0.1362
node_000044,77882,pcdn,box,pppoe,symmetric,unicom,self,direct,湖北,电信,杭州,jarvis.A,host,false,on,0.6966
node_000045,30003,pcdn,box,dhcp,symmetric,multi,agent,resell,四川,电信,武汉,jarvis.B,host,true,off,0.4597
node_000046,10001,egress,vm,dhcp,public,multi,agent,resell,广东,移动,杭州,jarvis.C,host,false,on,0.5108
node_000047,77882,idc,vm,dhcp,fullcone,telecom,self,direct,北京,移动,武汉,jarvis.A,vm,true,on,0.6577
node_000048,10001,egress,vm,pppoe,public,multi,self,resell,广东,联通,广州,jarvis.A,vm,false,on,0.3865
node_000049,10001,idc,box,dhcp,symmetric,telecom,self,direct,湖北,联通,武汉,jarvis.A,vm,true,on,0.4927
node_000050,10001,egress,server,pppoe,fullcone,multi,agent,direct,湖北,联通,北京,jarvis.A,vm,true,off,0.207
node_000051,20002,idc,box,pppoe,symmetric,unicom,self,resell,广东,联通,成都,jarvis.B,host,false,on,0.1239
node_000052,30003,idc,box,staticNetSingle,public,telecom,agent,resell,四川,联通,成都,jarvis.A,vm,false,on,0.5285
node_000053,10001,pcdn,server,staticNetSingle,fullcone,unicom,self,direct,浙江,联通,北京,jarvis.A,vm,false,on,0.1898
node_000054,30003,egress,vm,staticNetSingle,symmetric,multi,self,direct,北京,联通,武汉,jarvis.C,vm,true,off,0.6263
node_000055,10001,pcdn,vm,pppoe,fullcone,unicom,self,resell,湖北,联通,武汉,jarvis.A,vm,true,on,0.1852
node_000056,77882,egress,vm,pppoe,symmetric,telecom,agent,direct,浙江,移动,杭州,jarvis.B,host,true,on,0.8669
node_000057,77882,egress,vm,dhcp,symmetric,telecom,agent,resell,浙江,移动,北京,jarvis.B,host,true,on,0.5336
node_000058,20002,pcdn,box,dhcp,fullcone,telecom,agent,resell,广东,联通,成都,jarvis.B,host,true,off,0.57
node_000059,77882,pcdn,box,staticNetSingle,public,mobile,self,resell,北京,移动,成都,jarvis.A,host,false,off,0.9127
node_000060,30003,idc,box,staticNetSingle,public,multi,self,direct,四川,移动,广州,jarvis.C,vm,false,on,0.8579
node_000061,20002,idc,box,dhcp,symmetric,unicom,self,resell,浙江,联通,广州,jarvis.A,host,true,off,0.9782
node_000062,20002,egress,vm,pppoe,fullcone,multi,agent,resell,广东,联通,广州,jarvis.A,host,true,on,0.9511
node_000063,20002,pcdn,box,pppoe,public,mobile,agent,direct,湖北,移动,广州,jarvis.B,vm,true,off,0.1601
node_000064,77882,egress,vm,pppoe,public,unicom,self,resell,四川,移动,杭州,jarvis.C,vm,true,off,0.8309
node_000065,10001,idc,box,staticNetSingle,public,mobile,self,resell,四川,移动,广州,jarvis.C,vm,true,off,0.5306
node_000066,10001,pcdn,server,staticNetSingle,public,unicom,self,direct,四川,电信,杭州,jarvis.C,host,true,on,0.2178
node_000067,10001,pcdn,vm,staticNetSingle,symmetric,telecom,agent,direct,北京,联通,北京,jarvis.B,host,false,off,0.853
node_000068,20002,idc,server,staticNetSingle,public,telecom,agent,direct,四川,移动,成都,jarvis.B,host,false,on,0.2727
node_000069,30003,egress,box,dhcp,fullcone,unicom,agent,resell,浙江,电信,成都,jarvis.A,vm,false,on,0.1348
node_000070,77882,egress,server,pppoe,fullcone,unicom,self,resell,广东,电信,杭州,jarvis.C,host,false,off,0.5214
node_000071,10001,egress,box,pppoe,public,telecom,self,direct,四川,联通,北京,jarvis.C,host,true,on,0.8659
node_000072,30003,egress,server,dhcp,public,mobile,agent,direct,北京,电信,杭州,jarvis.A,host,false,off,0.6244
node_000073,10001,pcdn,box,pppoe,public,multi,self,direct,北京,联通,成都,jarvis.C,host,true,off,0.4445
node_000074,10001,pcdn,vm,dhcp,symmetric,telecom,agent,direct,北京,移动,杭州,jarvis.A,host,false,off,0.8799
node_000075,77882,pcdn,server,staticNetSingle,public,multi,agent,resell,广东,联通,杭州,jarvis.B,host,true,on,0.9126
node_000076,10001,egress,server,pppoe,fullcone,mobile,agent,resell,北京,联通,成都,jarvis.B,host,true,on,0.8169
node_000077,30003,pcdn,server,staticNetSingle,fullcone,mobile,self,resell,北京,联通,广州,jarvis.B,vm,true,on,0.7073
node_000078,30003,pcdn,vm,pppoe,fullcone,mobile,agent,resell,广东,电信,北京,jarvis.B,vm,true,off,0.5442
node_000079,30003,idc,box,pppoe,public,unicom,self,resell,湖北,联通,武汉,jarvis.C,host,true,on,0.5502
node_000080,10001,idc,box,pppoe,symmetric,multi,self,direct,浙江,联通,武汉,jarvis.C,host,false,off,0.8186
node_000081,77882,idc,server,dhcp,symmetric,mobile,self,direct,浙江,电信,广州,jarvis.A,host,false,off,0.1585
node_000082,10001,pcdn,vm,staticNetSingle,symmetric,telecom,agent,resell,广东,移动,广州,jarvis.B,vm,false,off,0.3702
node_000083,30003,pcdn,box,pppoe,symmetric,telecom,self,direct,浙江,电信,北京,jarvis.B,host,true,on,0.842
node_000084,77882,pcdn,vm,pppoe,fullcone,unicom,agent,resell,北京,电信,成都,jarvis.C,vm,true,off,0.8641
node_000085,77882,egress,vm,staticNetSingle,fullcone,mobile,self,resell,广东,电信,广州,jarvis.C,vm,false,off,0.1796
node_000086,10001,egress,vm,pppoe,public,telecom,self,direct,广东,移动,广州,jarvis.A,vm,true,on,0.497
node_000087,30003,pcdn,server,pppoe,public,telecom,agent,resell,四川,联通,杭州,jarvis.B,vm,true,on,0.9482
node_000088,77882,idc,server,pppoe,public,multi,agent,direct,广东,联通,广州,jarvis.C,host,true,on,0.1465
node_000089,30003,pcdn,server,pppoe,symmetric,multi,self,direct,四川,电信,广州,jarvis.A,host,true,off,0.712
node_000090,20002,pcdn,box,staticNetSingle,symmetric,telecom,agent,resell,湖北,电信,武汉,jarvis.C,vm,false,on,0.7393
node_000091,10001,idc,vm,staticNetSingle,fullcone,unicom,self,direct,浙江,联通,北京,jarvis.B,vm,true,on,0.1808
node_000092,20002,egress,vm,staticNetSingle,public,multi,self,direct,浙江,移动,北京,jarvis.C,host,true,on,0.1308
node_000093,30003,egress,vm,pppoe,symmetric,unicom,agent,resell,广东,联通,北京,jarvis.A,host,false,on,0.4167
node_000094,77882,egress,vm,staticNetSingle,fullcone,mobile,self,resell,湖北,电信,武汉,jarvis.B,host,false,on,0.561
node_000095,30003,egress,vm,staticNetSingle,symmetric,telecom,agent,resell,四川,移动,武汉,jarvis.A,host,true,off,0.4745
node_000096,30003,idc,vm,pppoe,symmetric,mobile,self,direct,浙江,电信,北京,jarvis.B,vm,true,off,0.2773
node_000097,30003,egress,box,dhcp,symmetric,unicom,self,direct,北京,联通,广州,jarvis.A,vm,false,on,0.7511
node_000098,20002,egress,server,staticNetSingle,symmetric,telecom,self,resell,四川,移动,广州,jarvis.A,host,true,on,0.7374
node_000099,30003,pcdn,box,pppoe,public,mobile,agent,resell,四川,移动,杭州,jarvis.A,host,true,on,0.4169
node_000100,10001,pcdn,vm,pppoe,public,unicom,self,resell,湖北,电信,成都,jarvis.B,host,false,on,0.4326
node_000101,20002,idc,box,pppoe,symmetric,unicom,self,resell,浙江,联通,广州,jarvis.B,vm,false,on,0.8476
node_000102,77882,idc,vm,dhcp,public,mobile,agent,direct,北京,移动,杭州,jarvis.C,host,true,on,0.1078
node_000103,20002,idc,box,pppoe,fullcone,mobile,self,resell,四川,移动,北京,jarvis.C,host,false,on,0.6003
node_000104,77882,idc,vm,dhcp,symmetric,telecom,self,resell,浙江,移动,广州,jarvis.A,host,false,off,0.7816
node_000105,10001,pcdn,vm,pppoe,public,telecom,self,direct,浙江,联通,成都,jarvis.B,host,false,off,0.6774
node_000106,10001,pcdn,vm,pppoe,symmetric,multi,self,resell,湖北,联通,武汉,jarvis.B,host,true,off,0.2737
node_000107,30003,egress,box,pppoe,symmetric,mobile,agent,direct,四川,移动,成都,jarvis.B,host,true,off,0.9554
node_000108,77882,idc,vm,pppoe,symmetric,telecom,self,direct,湖北,联通,杭州,jarvis.B,vm,false,on,0.2359
node_000109,10001,pcdn,server,pppoe,fullcone,unicom,agent,direct,广东,联通,杭州,jarvis.B,host,false,on,0.3877
node_000110,77882,pcdn,vm,pppoe,public,unicom,self,direct,四川,电信,北京,jarvis.B,host,false,on,0.6018
node_000111,77882,pcdn,server,pppoe,symmetric,multi,agent,resell,四川,联通,杭州,jarvis.A,vm,true,off,0.1799
node_000112,30003,egress,box,pppoe,public,multi,self,direct,广东,联通,武汉,jarvis.A,host,false,off,0.9119
node_000113,20002,pcdn,server,pppoe,public,unicom,agent,direct,湖北,移动,武汉,jarvis.A,vm,false,off,0.6174
node_000114,10001,pcdn,box,staticNetSingle,symmetric,telecom,self,resell,四川,联通,杭州,jarvis.B,vm,true,on,0.8252
node_000115,20002,egress,box,dhcp,public,telecom,self,resell,四川,电信,成都,jarvis.C,host,true,off,0.3296
node_000116,77882,pcdn,box,dhcp,public,telecom,self,direct,北京,联通,杭州,jarvis.C,host,true,on,0.2255
node_000117,77882,pcdn,box,dhcp,symmetric,telecom,agent,direct,广东,联通,广州,jarvis.B,vm,true,off,0.2634
node_000118,77882,egress,box,dhcp,public,telecom,agent,resell,北京,移动,杭州,jarvis.C,vm,false,off,0.5726
node_000119,77882,egress,box,pppoe,fullcone,mobile,agent,resell,广东,电信,北京,jarvis.A,host,true,off,0.674
node_000120,30003,pcdn,box,dhcp,symmetric,multi,self,resell,广东,联通,成都,jarvis.A,host,false,off,0.3203
node_000121,20002,egress,box,staticNetSingle,symmetric,multi,agent,resell,浙江,移动,广州,jarvis.B,host,true,off,0.7627
node_000122,30003,idc,box,pppoe,symmetric,telecom,agent,direct,广东,移动,成都,jarvis.B,vm,true,on,0.8335
node_000123,10001,egress,server,staticNetSingle,symmetric,mobile,agent,direct,广东,电信,北京,jarvis.A,vm,true,off,0.3471
node_000124,30003,egress,box,pppoe,fullcone,mobile,agent,resell,四川,电信,武汉,jarvis.C,host,true,off,0.4781
node_000125,77882,pcdn,server,staticNetSingle,symmetric,telecom,self,resell,浙江,电信,武汉,jarvis.C,vm,false,off,0.2449
node_000126,20002,idc,vm,staticNetSingle,fullcone,telecom,self,resell,浙江,电信,广州,jarvis.C,vm,true,off,0.4764
node_000127,30003,idc,vm,pppoe,public,unicom,agent,resell,湖北,电信,杭州,jarvis.A,host,false,off,0.5222
node_000128,20002,idc,box,staticNetSingle,symmetric,mobile,agent,direct,湖北,联通,成都,jarvis.C,vm,false,on,0.5941
node_000129,10001,idc,vm,dhcp,public,unicom,self,resell,北京,移动,北京,jarvis.C,vm,true,off,0.9533
node_000130,10001,idc,box,staticNetSingle,public,multi,self,resell,四川,联通,杭州,jarvis.A,host,true,off,0.4417
node_000131,30003,idc,box,staticNetSingle,public,mobile,agent,direct,广东,电信,广州,jarvis.C,host,true,on,0.4687
node_000132,77882,idc,server,pppoe,public,multi,agent,resell,北京,电信,杭州,jarvis.A,host,true,off,0.9272
node_000133,20002,pcdn,box,staticNetSingle,public,multi,self,direct,四川,电信,武汉,jarvis.C,vm,false,on,0.6692
node_000134,77882,pcdn,server,dhcp,fullcone,telecom,agent,direct,湖北,移动,北京,jarvis.C,vm,false,off,0.7992
node_000135,30003,idc,box,staticNetSingle,fullcone,unicom,self,direct,浙江,电信,成都,jarvis.C,host,true,off,0.9679
node_000136,77882,egress,vm,pppoe,symmetric,telecom,self,resell,四川,移动,成都,jarvis.A,vm,true,off,0.1519
node_000137,20002,egress,box,dhcp,public,multi,agent,resell,四川,联通,北京,jarvis.C,vm,true,on,0.1563
node_000138,10001,egress,server,staticNetSingle,symmetric,multi,agent,resell,北京,电信,武汉,jarvis.B,host,true,on,0.2009
node_000139,10001,pcdn,server,dhcp,fullcone,multi,self,direct,广东,移动,北京,jarvis.B,host,true,off,0.1336
node_000140,10001,idc,vm,dhcp,public,mobile,self,resell,四川,移动,北京,jarvis.C,vm,false,on,0.58
node_000141,20002,pcdn,box,pppoe,public,unicom,self,resell,湖北,移动,杭州,jarvis.B,vm,true,on,0.9483
node_000142,30003,idc,server,staticNetSingle,symmetric,unicom,self,direct,浙江,联通,成都,jarvis.C,host,false,off,0.8622
node_000143,77882,pcdn,vm,dhcp,fullcone,telecom,self,direct,四川,联通,北京,jarvis.C,vm,false,on,0.7965
node_000144,30003,pcdn,server,staticNetSingle,symmetric,unicom,agent,resell,湖北,联通,武汉,jarvis.A,host,true,on,0.1327
node_000145,30003,pcdn,vm,dhcp,fullcone,unicom,self,direct,浙江,电信,武汉,jarvis.C,host,false,off,0.7664
node_000146,20002,idc,vm,pppoe,symmetric,telecom,agent,resell,北京,电信,北京,jarvis.A,vm,true,on,0.8081
node_000147,30003,egress,box,staticNetSingle,symmetric,telecom,self,resell,浙江,电信,北京,jarvis.A,host,true,off,0.3376
node_000148,20002,egress,server,dhcp,public,multi,self,direct,广东,移动,武汉,jarvis.B,host,false,on,0.3594
node_000149,77882,egress,server,pppoe,public,unicom,self,resell,广东,移动,杭州,jarvis.B,vm,false,on,0.7088
node_000150,20002,pcdn,vm,dhcp,public,mobile,agent,direct,北京,移动,成都,jarvis.C,host,true,off,0.7365
node_000151,20002,idc,vm,staticNetSingle,fullcone,multi,agent,direct,北京,电信,杭州,jarvis.A,host,true,on,0.7346
node_000152,77882,egress,box,dhcp,fullcone,mobile,self,direct,广东,联通,武汉,jarvis.A,host,false,off,0.9333
node_000153,77882,idc,vm,pppoe,public,unicom,agent,direct,广东,移动,北京,jarvis.A,vm,false,on,0.7892
node_000154,10001,egress,box,dhcp,symmetric,multi,self,resell,湖北,联通,成都,jarvis.A,host,true,on,0.298
node_000155,30003,idc,server,dhcp,fullcone,mobile,self,direct,四川,联通,广州,jarvis.C,host,false,on,0.8966
node_000156,20002,idc,server,dhcp,fullcone,telecom,self,direct,四川,移动,武汉,jarvis.B,host,true,on,0.8733
node_000157,10001,pcdn,box,staticNetSingle,fullcone,telecom,agent,direct,广东,联通,杭州,jarvis.B,vm,false,off,0.4113
node_000158,20002,pcdn,box,pppoe,symmetric,telecom,self,resell,四川,电信,成都,jarvis.B,host,false,off,0.3695
node_000159,20002,egress,vm,dhcp,symmetric,multi,self,resell,北京,移动,杭州,jarvis.C,vm,true,on,0.5634
node_000160,77882,idc,box,dhcp,symmetric,multi,agent,direct,四川,电信,北京,jarvis.A,host,false,off,0.1811
node_000161,77882,idc,server,dhcp,fullcone,unicom,self,direct,湖北,电信,杭州,jarvis.A,host,false,off,0.4033
node_000162,10001,egress,box,staticNetSingle,fullcone,mobile,agent,resell,广东,移动,北京,jarvis.A,vm,true,off,0.2994
node_000163,77882,idc,box,pppoe,symmetric,mobile,agent,resell,湖北,移动,杭州,jarvis.B,vm,true,off,0.1554
node_000164,30003,egress,box,pppoe,fullcone,unicom,self,resell,四川,联通,北京,jarvis.B,host,true,on,0.717
node_000165,30003,pcdn,box,pppoe,public,telecom,self,resell,广东,联通,成都,jarvis.C,host,true,on,0.1254
node_000166,77882,idc,server,dhcp,public,telecom,agent,direct,湖北,移动,北京,jarvis.C,host,false,off,0.977
node_000167,20002,idc,box,staticNetSingle,symmetric,multi,agent,resell,湖北,联通,广州,jarvis.B,vm,false,on,0.8931
node_000168,77882,pcdn,server,dhcp,public,telecom,self,resell,湖北,联通,成都,jarvis.C,host,true,on,0.5783
node_000169,77882,egress,server,staticNetSingle,symmetric,telecom,agent,resell,浙江,电信,广州,jarvis.B,host,false,off,0.7434
node_000170,77882,idc,box,dhcp,fullcone,telecom,agent,resell,四川,电信,北京,jarvis.A,vm,true,off,0.2255
node_000171,20002,idc,vm,staticNetSingle,public,telecom,self,direct,四川,电信,杭州,jarvis.B,vm,true,on,0.7445
node_000172,10001,pcdn,box,staticNetSingle,symmetric,unicom,agent,direct,湖北,移动,杭州,jarvis.A,vm,true,on,0.9121
node_000173,77882,egress,vm,pppoe,fullcone,multi,agent,direct,四川,移动,成都,jarvis.B,vm,true,off,0.3386
node_000174,30003,idc,box,pppoe,public,telecom,self,resell,四川,电信,成都,jarvis.C,vm,false,off,0.4536
node_000175,30003,egress,server,pppoe,public,mobile,self,direct,四川,电信,北京,jarvis.A,vm,false,off,0.2678
node_000176,20002,egress,box,pppoe,public,unicom,agent,resell,浙江,移动,成都,jarvis.B,host,false,on,0.6306
node_000177,30003,pcdn,server,pppoe,public,mobile,self,resell,湖北,电信,广州,jarvis.B,host,false,off,0.8161
node_000178,10001,egress,server,staticNetSingle,symmetric,unicom,self,direct,四川,联通,成都,jarvis.A,vm,false,on,0.6749
node_000179,20002,egress,server,dhcp,symmetric,telecom,agent,resell,湖北,联通,北京,jarvis.C,vm,false,off,0.2205
node_000180,30003,idc,server,pppoe,public,mobile,agent,resell,湖北,电信,成都,jarvis.A,vm,true,off,0.7293
node_000181,20002,egress,vm,pppoe,symmetric,telecom,agent,resell,北京,电信,成都,jarvis.C,vm,true,on,0.7957
node_000182,20002,egress,server,pppoe,public,telecom,self,direct,北京,联通,广州,jarvis.C,vm,true,off,0.5187
node_000183,77882,idc,vm,staticNetSingle,fullcone,unicom,agent,resell,浙江,电信,北京,jarvis.C,vm,true,off,0.654
node_000184,77882,pcdn,vm,pppoe,public,mobile,agent,direct,湖北,移动,广州,jarvis.C,host,true,off,0.2131
node_000185,30003,pcdn,server,pppoe,symmetric,telecom,agent,direct,浙江,联通,武汉,jarvis.A,host,false,on,0.9283
node_000186,30003,egress,box,dhcp,symmetric,mobile,self,resell,北京,电信,杭州,jarvis.A,vm,false,off,0.9032
node_000187,77882,idc,vm,staticNetSingle,fullcone,mobile,self,direct,浙江,联通,武汉,jarvis.A,host,false,off,0.9067
node_000188,77882,pcdn,server,pppoe,fullcone,unicom,agent,direct,北京,移动,武汉,jarvis.A,vm,false,off,0.7719
node_000189,30003,idc,server,staticNetSingle,symmetric,mobile,self,direct,四川,电信,北京,jarvis.B,host,true,on,0.4413
node_000190,10001,idc,server,staticNetSingle,public,multi,agent,resell,北京,电信,杭州,jarvis.B,vm,true,on,0.5992
node_000191,77882,egress,box,staticNetSingle,symmetric,telecom,agent,direct,湖北,联通,杭州,jarvis.C,vm,true,on,0.3508
node_000192,10001,egress,server,staticNetSingle,symmetric,unicom,agent,resell,浙江,联通,杭州,jarvis.C,host,false,off,0.3442
node_000193,77882,idc,vm,pppoe,symmetric,mobile,agent,resell,浙江,电信,北京,jarvis.A,host,true,off,0.3687
node_000194,20002,pcdn,vm,pppoe,fullcone,mobile,self,direct,广东,联通,北京,jarvis.C,vm,true,on,0.1438
node_000195,77882,egress,vm,dhcp,fullcone,mobile,self,direct,湖北,移动,成都,jarvis.C,vm,true,on,0.8322
node_000196,30003,pcdn,box,staticNetSingle,symmetric,mobile,agent,resell,浙江,移动,成都,jarvis.C,vm,false,off,0.5552
node_000197,10001,egress,box,dhcp,fullcone,mobile,self,resell,四川,电信,杭州,jarvis.C,vm,true,off,0.9759
node_000198,20002,idc,box,pppoe,public,multi,agent,direct,北京,电信,广州,jarvis.A,host,true,on,0.3934
node_000199,77882,idc,vm,staticNetSingle,symmetric,unicom,self,resell,北京,移动,北京,jarvis.A,vm,true,off,0.8831
node_000200,30003,idc,vm,staticNetSingle,public,mobile,agent,direct,广东,电信,北京,jarvis.A,vm,true,off,0.9497
node_000201,77882,pcdn,server,pppoe,symmetric,multi,self,resell,浙江,联通,成都,jarvis.B,vm,true,on,0.3672
node_000202,20002,idc,vm,pppoe,symmetric,telecom,agent,direct,四川,移动,武汉,jarvis.A,host,false,off,0.3848
node_000203,77882,idc,box,pppoe,fullcone,mobile,self,resell,浙江,电信,杭州,jarvis.A,host,false,on,0.5343
node_000204,20002,idc,box,dhcp,public,mobile,self,direct,四川,电信,广州,jarvis.B,vm,true,off,0.4875
node_000205,30003,idc,vm,dhcp,fullcone,unicom,self,direct,浙江,电信,北京,jarvis.B,vm,false,off,0.4932
node_000206,77882,idc,server,staticNetSingle,symmetric,mobile,agent,resell,浙江,联通,武汉,jarvis.C,host,true,on,0.7336
node_000207,30003,idc,vm,staticNetSingle,public,multi,self,direct,四川,电信,成都,jarvis.B,host,true,on,0.2241
node_000208,77882,egress,server,staticNetSingle,symmetric,multi,agent,resell,浙江,电信,北京,jarvis.A,host,true,on,0.6718
node_000209,20002,egress,server,dhcp,symmetric,telecom,self,resell,浙江,联通,成都,jarvis.C,host,true,off,0.4979
node_000210,20002,idc,server,dhcp,fullcone,telecom,agent,direct,湖北,联通,广州,jarvis.B,vm,false,off,0.8334
node_000211,20002,egress,server,staticNetSingle,fullcone,mobile,agent,direct,四川,联通,杭州,jarvis.C,vm,false,off,0.8725
node_000212,30003,idc,box,dhcp,fullcone,telecom,self,direct,四川,移动,武汉,jarvis.A,vm,true,on,0.3193
node_000213,30003,egress,server,dhcp,public,multi,agent,direct,四川,电信,成都,jarvis.A,host,true,on,0.6698
node_000214,20002,pcdn,server,dhcp,fullcone,telecom,agent,direct,四川,联通,成都,jarvis.C,vm,false,off,0.4626
node_000215,10001,pcdn,server,pppoe,symmetric,unicom,self,direct,四川,联通,北京,jarvis.A,host,true,off,0.1418
node_000216,30003,egress,vm,staticNetSingle,fullcone,multi,agent,direct,浙江,联通,北京,jarvis.B,vm,true,off,0.3472
node_000217,10001,idc,box,pppoe,public,unicom,agent,resell,北京,移动,成都,jarvis.A,host,true,on,0.415
node_000218,10001,pcdn,server,dhcp,public,mobile,self,resell,浙江,联通,成都,jarvis.C,vm,false,on,0.3651
node_000219,77882,pcdn,vm,dhcp,symmetric,telecom,self,resell,四川,联通,北京,jarvis.A,host,true,on,0.5973
node_000220,20002,pcdn,server,pppoe,fullcone,unicom,agent,resell,湖北,电信,武汉,jarvis.C,host,false,off,0.9049
node_000221,30003,pcdn,box,pppoe,public,mobile,agent,direct,湖北,移动,武汉,jarvis.A,vm,true,off,0.6631
node_000222,10001,idc,vm,pppoe,fullcone,multi,self,resell,四川,联通,武汉,jarvis.C,vm,true,on,0.8923
node_000223,20002,idc,vm,pppoe,symmetric,telecom,self,resell,四川,移动,武汉,jarvis.B,vm,true,on,0.1341
node_000224,77882,pcdn,server,pppoe,symmetric,mobile,agent,resell,四川,电信,武汉,jarvis.A,vm,true,off,0.2248
