node_id,business,online_time,cum_cost_7d,cum_revenue_7d
node_000007,iqiyi,1335028,543.11,896.37
node_000007,bilibili,1335028,583.78,819.97
node_000007,netease,1335028,476.65,694.69
node_000007,default,1335028,383.46,511.88
node_000008,kuaishou,397312,1339.45,1214.03
node_000008,douyin,397312,1093.03,1525.49
node_000008,tencent_video,397312,886.67,1606.05
node_000008,iqiyi,397312,807.42,1437.55
node_000008,bilibili,397312,1016.58,1290.99
node_000008,netease,397312,746.91,980.41
node_000008,default,397312,631.62,738.59
node_000009,kuaishou,2404242,696.25,921.19
node_000009,douyin,2404242,666.32,1076.25
node_000009,tencent_video,2404242,585.32,1270.03
node_000009,iqiyi,2404242,524.94,1171.96
node_000009,bilibili,2404242,624.83,829.65
node_000009,netease,2404242,474.03,754.14
node_000009,default,2404242,464.88,575.72
node_000010,kuaishou,2065349,1011.54,922.45
node_000010,douyin,2065349,910.1,1071.22
node_000010,tencent_video,2065349,735.52,1110.73
node_000010,iqiyi,2065349,616.32,1185.71
node_000010,bilibili,2065349,726.01,920.78
node_000010,netease,2065349,645.51,948.35
node_000010,default,2065349,487.0,573.76
node_000011,kuaishou,398165,1045.27,1217.08
node_000011,douyin,398165,980.97,1379.15
node_000011,tencent_video,398165,902.34,1619.96
node_000011,iqiyi,398165,799.57,1380.73
node_000011,bilibili,398165,928.1,1233.52
node_000011,netease,398165,679.8,1065.08
node_000011,default,398165,614.09,817.56
node_000012,kuaishou,134685,770.86,1186.06
node_000012,douyin,134685,791.74,1231.15
node_000012,tencent_video,134685,687.18,1435.55
node_000012,iqiyi,134685,635.06,1228.63
node_000012,bilibili,134685,735.14,1119.22
node_000012,netease,134685,567.32,1034.36
node_000012,default,134685,429.42,672.04
node_000013,kuaishou,949689,687.56,798.75
node_000013,douyin,949689,621.63,1032.64
node_000013,tencent_video,949689,591.47,1374.25
node_000013,iqiyi,949689,547.71,1137.38
node_000013,bilibili,949689,656.08,861.64
node_000013,netease,949689,478.82,706.04
node_000013,default,949689,403.65,488.24
node_000014,kuaishou,1881054,885.39,883.19
node_000014,douyin,1881054,829.23,992.68
node_000014,tencent_video,1881054,748.93,1143.01
node_000014,iqiyi,1881054,604.79,925.37
node_000014,bilibili,1881054,732.33,832.26
node_000014,netease,1881054,538.36,764.99
node_000014,default,1881054,515.58,547.88
node_000015,kuaishou,310349,682.03,754.56
node_000015,douyin,310349,606.87,827.73
node_000015,tencent_video,310349,550.83,1170.75
node_000015,iqiyi,310349,481.91,989.47
node_000015,bilibili,310349,563.27,708.93
node_000015,netease,310349,420.31,624.98
node_000015,default,310349,377.61,466.77
node_000016,kuaishou,975523,897.41,1212.49
node_000016,douyin,975523,810.69,1493.77
node_000016,tencent_video,975523,709.76,1308.7
node_000016,iqiyi,975523,697.18,1250.58
node_000016,bilibili,975523,757.04,1239.7
node_000016,netease,975523,527.74,927.1
node_000016,default,975523,461.79,670.39
node_000017,kuaishou,2169235,1061.27,1272.82
node_000017,douyin,2169235,977.22,1447.53
node_000017,tencent_video,2169235,847.37,1519.01
node_000017,iqiyi,2169235,798.27,1404.18
node_000017,bilibili,2169235,904.08,1258.17
node_000017,netease,2169235,693.32,1036.16
node_000017,default,2169235,640.32,662.41
node_000018,kuaishou,1809529,1092.22,1424.04
node_000018,douyin,1809529,1009.31,1469.62
node_000018,tencent_video,1809529,886.2,1543.8
node_000018,iqiyi,1809529,785.51,1440.89
node_000018,bilibili,1809529,997.54,1448.53
node_000018,netease,1809529,680.18,1155.97
node_000018,default,1809529,606.08,819.26
node_000019,kuaishou,2032337,1199.7,1236.02
node_000019,douyin,2032337,1153.39,1372.23
node_000019,tencent_video,2032337,792.14,1598.54
node_000019,iqiyi,2032337,757.01,1409.88
node_000019,bilibili,2032337,915.28,1206.09
node_000019,netease,2032337,696.17,1132.61
node_000019,default,2032337,660.88,730.96
node_000020,kuaishou,564093,1191.64,1579.48
node_000020,douyin,564093,1140.02,2039.1
node_000020,tencent_video,564093,1109.96,2308.18
node_000020,iqiyi,564093,963.08,2090.41
node_000020,bilibili,564093,1088.69,1631.53
node_000020,netease,564093,867.49,1350.76
node_000020,default,564093,775.42,914.55
node_000021,kuaishou,1348553,829.6,1027.07
node_000021,douyin,1348553,769.23,1300.6
node_000021,tencent_video,1348553,689.18,1586.09
node_000021,iqiyi,1348553,622.92,1394.17
node_000021,bilibili,1348553,743.86,974.51
node_000021,netease,1348553,532.34,821.07
node_000021,default,1348553,438.33,687.54
node_000022,kuaishou,806012,1203.21,1671.78
node_000022,douyin,806012,1202.27,1943.16
node_000022,tencent_video,806012,1130.56,2589.38
node_000022,iqiyi,806012,1011.51,2162.95
node_000022,bilibili,806012,1193.2,1835.23
node_000022,netease,806012,827.84,1378.44
node_000022,default,806012,812.14,1008.46
node_000023,kuaishou,468961,858.92,1036.79
node_000023,douyin,468961,794.47,1258.74
node_000023,tencent_video,468961,740.11,1485.29
node_000023,iqiyi,468961,605.17,1359.61
node_000023,bilibili,468961,704.57,1138.79
node_000023,netease,468961,554.93,944.01
node_000023,default,468961,486.06,681.78
node_000024,kuaishou,1308419,808.89,1067.93
node_000024,douyin,1308419,722.57,1237.4
node_000024,tencent_video,1308419,697.99,1431.08
node_000024,iqiyi,1308419,632.03,1191.24
node_000024,bilibili,1308419,768.59,1167.67
node_000024,netease,1308419,555.9,925.89
node_000024,default,1308419,503.77,681.98
node_000025,kuaishou,1237695,816.74,927.05
node_000025,douyin,1237695,692.8,1194.37
node_000025,tencent_video,1237695,632.64,1637.57
node_000025,iqiyi,1237695,661.71,1309.51
node_000025,bilibili,1237695,672.51,1066.47
node_000025,netease,1237695,577.86,841.19
node_000025,default,1237695,473.76,690.03
node_000026,kuaishou,1205211,1173.85,1375.95
node_000026,douyin,1205211,1115.84,1578.27
node_000026,tencent_video,1205211,923.28,2182.8
node_000026,iqiyi,1205211,891.01,1912.17
node_000026,bilibili,1205211,916.92,1454.98
node_000026,netease,1205211,723.45,1218.5
node_000026,default,1205211,620.02,869.09
node_000027,kuaishou,11664,1096.84,1168.61
node_000027,douyin,11664,1009.91,1285.95
node_000027,tencent_video,11664,876.11,1352.89
node_000027,iqiyi,11664,649.15,1357.04
node_000027,bilibili,11664,971.01,1118.58
node_000027,netease,11664,592.63,955.39
node_000027,default,11664,565.94,678.52
node_000028,kuaishou,1057385,1099.91,1142.55
node_000028,douyin,1057385,986.2,1410.33
node_000028,tencent_video,1057385,971.4,1859.85
node_000028,iqiyi,1057385,867.06,1559.93
node_000028,bilibili,1057385,961.12,1270.77
node_000028,netease,1057385,680.48,1072.6
node_000028,default,1057385,660.21,738.32
node_000029,kuaishou,2356295,862.53,1195.71
node_000029,douyin,2356295,919.31,1275.91
node_000029,tencent_video,2356295,770.22,1498.3
node_000029,iqiyi,2356295,755.02,1416.38
node_000029,bilibili,2356295,883.93,1172.86
node_000029,netease,2356295,654.1,1017.91
node_000029,default,2356295,595.2,733.54
node_000030,kuaishou,1692374,1327.57,1386.22
node_000030,douyin,1692374,1255.16,1432.27
node_000030,tencent_video,1692374,907.99,2022.84
node_000030,iqiyi,1692374,753.53,1763.32
node_000030,bilibili,1692374,948.99,1389.36
node_000030,netease,1692374,799.87,1178.33
node_000030,default,1692374,628.82,839.68
node_000031,kuaishou,290486,1379.89,1819.48
node_000031,douyin,290486,1188.71,1949.36
node_000031,tencent_video,290486,1190.05,2709.87
node_000031,iqiyi,290486,982.61,2415.61
node_000031,bilibili,290486,1276.27,1629.15
node_000031,netease,290486,851.6,1490.9
node_000031,default,290486,864.26,1118.9
node_000032,kuaishou,2381589,967.23,875.43
node_000032,douyin,2381589,784.32,858.97
node_000032,tencent_video,2381589,708.45,1337.18
node_000032,iqiyi,2381589,576.2,1007.46
node_000032,bilibili,2381589,711.9,880.64
node_000032,netease,2381589,588.24,733.72
node_000032,default,2381589,463.48,482.34
node_000033,kuaishou,825290,1383.21,1899.05
node_000033,douyin,825290,1279.9,2131.53
node_000033,tencent_video,825290,1163.63,2272.28
node_000033,iqiyi,825290,924.43,1974.33
node_000033,bilibili,825290,1151.18,1672.99
node_000033,netease,825290,978.04,1650.6
node_000033,default,825290,843.05,1086.11
node_000034,kuaishou,10387,763.41,722.99
node_000034,douyin,10387,642.45,805.75
node_000034,tencent_video,10387,508.7,1027.54
node_000034,iqiyi,10387,432.09,906.6
node_000034,bilibili,10387,513.07,648.78
node_000034,netease,10387,416.44,599.75
node_000034,default,10387,323.56,412.68
node_000035,kuaishou,1756393,836.53,1029.87
node_000035,douyin,1756393,681.63,1173.21
node_000035,tencent_video,1756393,667.94,1282.82
node_000035,iqiyi,1756393,577.51,1154.82
node_000035,bilibili,1756393,676.32,1004.17
node_000035,netease,1756393,536.85,863.51
node_000035,default,1756393,468.18,630.53
node_000036,kuaishou,1901218,1111.67,1349.75
node_000036,douyin,1901218,1079.23,1352.72
node_000036,tencent_video,1901218,943.27,1829.66
node_000036,iqiyi,1901218,785.52,1465.14
node_000036,bilibili,1901218,934.65,1297.02
node_000036,netease,1901218,727.9,1236.44
node_000036,default,1901218,706.95,800.95
node_000037,kuaishou,1505924,993.71,1059.49
node_000037,douyin,1505924,847.53,1297.24
node_000037,tencent_video,1505924,791.05,1367.55
node_000037,iqiyi,1505924,711.34,1206.89
node_000037,bilibili,1505924,846.94,974.51
node_000037,netease,1505924,652.92,872.13
node_000037,default,1505924,513.01,645.52
node_000038,kuaishou,117088,1008.02,1125.51
node_000038,douyin,117088,807.37,1163.92
node_000038,tencent_video,117088,810.16,1664.37
node_000038,iqiyi,117088,725.82,1478.94
node_000038,bilibili,117088,860.79,1175.14
node_000038,netease,117088,612.5,897.8
node_000038,default,117088,536.44,682.91
node_000039,kuaishou,656438,1133.78,1226.95
node_000039,douyin,656438,944.92,1495.32
node_000039,tencent_video,656438,828.79,1618.27
node_000039,iqiyi,656438,812.09,1386.56
node_000039,bilibili,656438,1017.46,1230.36
node_000039,netease,656438,792.16,1067.22
node_000039,default,656438,588.28,764.59
node_000040,kuaishou,2266898,1090.34,1108.3
node_000040,douyin,2266898,882.14,1174.23
node_000040,tencent_video,2266898,736.36,1565.62
node_000040,iqiyi,2266898,672.96,1358.21
node_000040,bilibili,2266898,884.27,1028.76
node_000040,netease,2266898,628.52,871.69
node_000040,default,2266898,540.85,622.73
node_000041,kuaishou,77901,856.49,946.87
node_000041,douyin,77901,795.96,1105.27
node_000041,tencent_video,77901,716.49,1113.2
node_000041,iqiyi,77901,646.32,851.21
node_000041,bilibili,77901,755.78,741.29
node_000041,netease,77901,516.33,788.09
node_000041,default,77901,506.19,512.39
node_000042,kuaishou,2394446,1190.65,1492.12
node_000042,douyin,2394446,1022.56,1697.01
node_000042,tencent_video,2394446,960.66,2345.8
node_000042,iqiyi,2394446,899.47,1945.21
node_000042,bilibili,2394446,1042.0,1511.46
node_000042,netease,2394446,822.76,1207.05
node_000042,default,2394446,662.01,946.41
node_000043,kuaishou,2192851,572.03,715.19
node_000043,douyin,2192851,555.42,789.55
node_000043,tencent_video,2192851,535.0,1133.38
node_000043,iqiyi,2192851,502.82,989.74
node_000043,bilibili,2192851,535.37,715.96
node_000043,netease,2192851,425.88,601.64
node_000043,default,2192851,361.23,439.52
node_000044,kuaishou,1699101,910.03,944.04
node_000044,douyin,1699101,877.73,1128.12
node_000044,tencent_video,1699101,593.63,1191.99
node_000044,iqiyi,1699101,552.73,1109.67
node_000044,bilibili,1699101,670.24,989.22
node_000044,netease,1699101,533.79,869.77
node_000044,default,1699101,460.19,616.07
node_000045,kuaishou,2530124,794.27,899.54
node_000045,douyin,2530124,727.05,1009.9
node_000045,tencent_video,2530124,619.44,1067.18
node_000045,iqiyi,2530124,552.7,998.78
node_000045,bilibili,2530124,590.25,921.0
node_000045,netease,2530124,488.76,750.31
node_000045,default,2530124,397.48,504.31
node_000046,kuaishou,1245734,1035.11,1115.42
node_000046,douyin,1245734,901.97,1280.73
node_000046,tencent_video,1245734,821.32,1647.93
node_000046,iqiyi,1245734,775.68,1428.05
node_000046,bilibili,1245734,891.39,1071.46
node_000046,netease,1245734,640.83,890.62
node_000046,default,1245734,575.21,712.27
node_000047,kuaishou,1095898,1238.28,1759.76
node_000047,douyin,1095898,1183.64,1873.94
node_000047,tencent_video,1095898,1086.07,2470.52
node_000047,iqiyi,1095898,962.05,2123.1
node_000047,bilibili,1095898,1038.2,1515.2
node_000047,netease,1095898,878.24,1376.33
node_000047,default,1095898,721.98,985.58
node_000048,kuaishou,2531513,968.2,1056.57
node_000048,douyin,2531513,865.18,1209.48
node_000048,tencent_video,2531513,721.78,1591.51
node_000048,iqiyi,2531513,640.72,1299.36
node_000048,bilibili,2531513,854.13,1068.16
node_000048,netease,2531513,656.38,859.49
node_000048,default,2531513,503.78,607.66
node_000049,kuaishou,1344,1182.39,1479.68
node_000049,douyin,1344,1081.97,1869.55
node_000049,tencent_video,1344,992.17,1844.02
node_000049,iqiyi,1344,803.26,1569.32
node_000049,bilibili,1344,1033.16,1442.22
node_000049,netease,1344,852.77,1258.95
node_000049,default,1344,742.92,898.82
node_000050,kuaishou,1947864,867.53,889.2
node_000050,douyin,1947864,816.45,1096.32
node_000050,tencent_video,1947864,712.74,1187.82
node_000050,iqiyi,1947864,644.28,969.28
node_000050,bilibili,1947864,767.43,911.63
node_000050,netease,1947864,565.03,827.38
node_000050,default,1947864,433.79,505.41
node_000051,kuaishou,1841700,1000.94,1094.77
node_000051,douyin,1841700,845.36,1327.93
node_000051,tencent_video,1841700,807.17,1734.87
node_000051,iqiyi,1841700,703.43,1474.78
node_000051,bilibili,1841700,898.67,1182.78
node_000051,netease,1841700,693.83,922.1
node_000051,default,1841700,620.11,669.02
node_000052,kuaishou,1218125,1198.11,1582.87
node_000052,douyin,1218125,1220.11,1926.48
node_000052,tencent_video,1218125,949.3,1818.71
node_000052,iqiyi,1218125,977.84,1589.41
node_000052,bilibili,1218125,991.75,1488.56
node_000052,netease,1218125,826.12,1290.16
node_000052,default,1218125,684.95,884.53
node_000053,kuaishou,2409695,587.21,666.18
node_000053,douyin,2409695,513.08,792.02
node_000053,tencent_video,2409695,560.37,913.58
node_000053,iqiyi,2409695,503.52,822.3
node_000053,bilibili,2409695,573.42,699.5
node_000053,netease,2409695,431.46,645.3
node_000053,default,2409695,357.28,451.79
node_000054,kuaishou,1030384,1009.84,1217.12
node_000054,douyin,1030384,953.03,1466.46
node_000054,tencent_video,1030384,894.08,1686.17
node_000054,iqiyi,1030384,820.05,1520.56
node_000054,bilibili,1030384,928.54,1187.38
node_000054,netease,1030384,658.48,914.94
node_000054,default,1030384,583.24,654.66
node_000055,kuaishou,981312,614.16,766.48
node_000055,douyin,981312,579.7,872.91
node_000055,tencent_video,981312,512.72,910.25
node_000055,iqiyi,981312,469.28,769.44
node_000055,bilibili,981312,568.9,753.74
node_000055,netease,981312,432.01,668.19
node_000055,default,981312,393.72,429.79
node_000056,kuaishou,1927048,990.02,1395.56
node_000056,douyin,1927048,1012.2,1562.81
node_000056,tencent_video,1927048,856.57,1675.74
node_000056,iqiyi,1927048,908.38,1537.21
node_000056,bilibili,1927048,971.45,1312.69
node_000056,netease,1927048,719.45,1019.38
node_000056,default,1927048,650.46,839.34
node_000057,kuaishou,2102015,960.69,982.99
node_000057,douyin,2102015,847.4,1370.06
node_000057,tencent_video,2102015,698.14,1378.35
node_000057,iqiyi,2102015,686.63,1284.05
node_000057,bilibili,2102015,822.55,1144.84
node_000057,netease,2102015,666.94,1041.42
node_000057,default,2102015,561.77,685.97
node_000058,kuaishou,1196796,681.36,931.99
node_000058,douyin,1196796,703.65,977.2
node_000058,tencent_video,1196796,583.65,1468.35
node_000058,iqiyi,1196796,562.62,1263.39
node_000058,bilibili,1196796,707.85,959.77
node_000058,netease,1196796,509.67,905.17
node_000058,default,1196796,427.14,540.23
node_000059,kuaishou,782174,828.25,1154.43
node_000059,douyin,782174,719.28,1314.05
node_000059,tencent_video,782174,765.91,1723.55
node_000059,iqiyi,782174,617.31,1444.59
node_000059,bilibili,782174,718.94,1108.6
node_000059,netease,782174,548.67,998.16
node_000059,default,782174,446.93,702.75
node_000060,kuaishou,2529526,1261.69,1819.9
node_000060,douyin,2529526,1280.4,2153.69
node_000060,tencent_video,2529526,1153.29,2310.8
node_000060,iqiyi,2529526,1104.65,2127.19
node_000060,bilibili,2529526,1028.25,1793.19
node_000060,netease,2529526,907.0,1413.11
node_000060,default,2529526,803.98,1161.53
node_000061,kuaishou,533484,1472.61,1912.77
node_000061,douyin,533484,1348.12,2063.45
node_000061,tencent_video,533484,1261.72,2373.89
node_000061,iqiyi,533484,1061.21,2071.22
node_000061,bilibili,533484,1214.53,1997.43
node_000061,netease,533484,965.22,1694.29
node_000061,default,533484,833.53,1187.95
node_000062,kuaishou,1134885,1134.81,1382.54
node_000062,douyin,1134885,1027.91,1638.77
node_000062,tencent_video,1134885,1010.51,2115.6
node_000062,iqiyi,1134885,811.18,1921.05
node_000062,bilibili,1134885,1037.24,1443.48
node_000062,netease,1134885,783.64,1171.97
node_000062,default,1134885,630.34,802.23
node_000063,kuaishou,1093217,578.85,767.99
node_000063,douyin,1093217,566.16,835.87
node_000063,tencent_video,1093217,578.71,963.47
node_000063,iqiyi,1093217,459.43,764.72
node_000063,bilibili,1093217,535.48,734.72
node_000063,netease,1093217,412.56,596.95
node_000063,default,1093217,389.52,427.42
node_000064,kuaishou,1101811,1089.25,1233.6
node_000064,douyin,1101811,928.7,1407.97
node_000064,tencent_video,1101811,825.82,1657.01
node_000064,iqiyi,1101811,861.16,1449.26
node_000064,bilibili,1101811,843.68,1305.82
node_000064,netease,1101811,718.81,1238.08
node_000064,default,1101811,587.92,775.58
node_000065,kuaishou,927113,1234.63,1541.19
node_000065,douyin,927113,1079.15,1754.68
node_000065,tencent_video,927113,980.73,1807.11
node_000065,iqiyi,927113,894.91,1587.54
node_000065,bilibili,927113,1080.01,1439.7
node_000065,netease,927113,838.62,1221.71
node_000065,default,927113,688.51,887.9
node_000066,kuaishou,707108,754.67,781.09
node_000066,douyin,707108,606.08,787.43
node_000066,tencent_video,707108,537.87,901.11
node_000066,iqiyi,707108,510.47,809.41
node_000066,bilibili,707108,504.83,700.21
node_000066,netease,707108,367.27,628.03
node_000066,default,707108,369.08,439.05
node_000067,kuaishou,1431205,904.19,1038.3
node_000067,douyin,1431205,781.41,1148.4
node_000067,tencent_video,1431205,652.87,1759.96
node_000067,iqiyi,1431205,608.21,1500.08
node_000067,bilibili,1431205,727.47,1084.9
node_000067,netease,1431205,585.13,916.06
node_000067,default,1431205,436.63,628.09
node_000068,kuaishou,1766005,1132.98,1347.84
node_000068,douyin,1766005,992.7,1460.54
node_000068,tencent_video,1766005,915.44,1553.17
node_000068,iqiyi,1766005,771.26,1357.98
node_000068,bilibili,1766005,924.24,1220.07
node_000068,netease,1766005,733.16,1141.29
node_000068,default,1766005,585.86,778.23
node_000069,kuaishou,2576649,998.8,852.4
node_000069,douyin,2576649,887.94,953.09
node_000069,tencent_video,2576649,679.06,986.69
node_000069,iqiyi,2576649,542.75,989.4
node_000069,bilibili,2576649,681.97,839.4
node_000069,netease,2576649,508.62,678.65
node_000069,default,2576649,474.04,496.58
node_000070,kuaishou,253466,1034.3,1096.72
node_000070,douyin,253466,1089.97,1313.79
node_000070,tencent_video,253466,814.73,1653.0
node_000070,iqiyi,253466,712.23,1491.84
node_000070,bilibili,253466,836.5,1111.75
node_000070,netease,253466,648.02,914.9
node_000070,default,253466,579.82,765.88
node_000071,kuaishou,2377889,971.51,1448.17
node_000071,douyin,2377889,1027.71,1625.86
node_000071,tencent_video,2377889,861.15,1607.21
node_000071,iqiyi,2377889,831.4,1474.39
node_000071,bilibili,2377889,976.57,1414.24
node_000071,netease,2377889,668.92,1195.79
node_000071,default,2377889,642.23,796.7
node_000072,kuaishou,1309677,1148.58,1141.08
node_000072,douyin,1309677,1035.45,1445.94
node_000072,tencent_video,1309677,862.33,1738.97
node_000072,iqiyi,1309677,746.89,1438.11
node_000072,bilibili,1309677,898.93,1078.09
node_000072,netease,1309677,697.1,1011.25
node_000072,default,1309677,658.03,670.25
node_000073,kuaishou,2041959,647.76,875.91
node_000073,douyin,2041959,659.87,989.16
node_000073,tencent_video,2041959,539.3,1369.55
node_000073,iqiyi,2041959,537.64,1106.75
node_000073,bilibili,2041959,607.37,804.75
node_000073,netease,2041959,445.28,719.64
node_000073,default,2041959,435.9,505.33
node_000074,kuaishou,667731,807.35,1036.13
node_000074,douyin,667731,775.89,1241.32
node_000074,tencent_video,667731,773.24,1513.69
node_000074,iqiyi,667731,628.39,1376.52
node_000074,bilibili,667731,707.83,1112.96
node_000074,netease,667731,488.65,950.5
node_000074,default,667731,529.86,648.05
node_000075,kuaishou,2520321,814.35,1093.14
node_000075,douyin,2520321,792.24,1204.82
node_000075,tencent_video,2520321,735.63,1566.51
node_000075,iqiyi,2520321,608.28,1624.6
node_000075,bilibili,2520321,775.35,1128.28
node_000075,netease,2520321,532.92,929.13
node_000075,default,2520321,491.11,674.95
node_000076,kuaishou,439898,1087.71,1283.71
node_000076,douyin,439898,1064.79,1543.66
node_000076,tencent_video,439898,842.28,2029.64
node_000076,iqiyi,439898,779.84,1678.23
node_000076,bilibili,439898,961.33,1276.97
node_000076,netease,439898,753.32,1069.69
node_000076,default,439898,611.46,759.71
node_000077,kuaishou,1797656,755.14,958.45
node_000077,douyin,1797656,677.14,1155.34
node_000077,tencent_video,1797656,610.22,1581.83
node_000077,iqiyi,1797656,557.94,1523.41
node_000077,bilibili,1797656,666.84,1015.59
node_000077,netease,1797656,486.14,933.53
node_000077,default,1797656,480.29,616.18
node_000078,kuaishou,2389007,893.74,975.1
node_000078,douyin,2389007,710.93,1078.47
node_000078,tencent_video,2389007,641.61,1270.9
node_000078,iqiyi,2389007,549.33,1236.2
node_000078,bilibili,2389007,631.5,838.31
node_000078,netease,2389007,480.53,772.44
node_000078,default,2389007,424.26,538.7
node_000079,kuaishou,2347812,1226.53,1619.41
node_000079,douyin,2347812,1012.53,1601.59
node_000079,tencent_video,2347812,1034.05,1930.79
node_000079,iqiyi,2347812,925.88,1660.42
node_000079,bilibili,2347812,1106.66,1617.23
node_000079,netease,2347812,835.81,1296.27
node_000079,default,2347812,638.81,962.77
node_000080,kuaishou,2348628,1356.81,1686.92
node_000080,douyin,2348628,1265.89,2114.2
node_000080,tencent_video,2348628,1132.4,2257.95
node_000080,iqiyi,2348628,1001.57,2110.69
node_000080,bilibili,2348628,1130.5,1734.27
node_000080,netease,2348628,902.45,1585.47
node_000080,default,2348628,730.12,1001.81
node_000081,kuaishou,712880,1219.8,1151.39
node_000081,douyin,712880,1082.99,1443.12
node_000081,tencent_video,712880,880.38,1386.68
node_000081,iqiyi,712880,802.53,1240.77
node_000081,bilibili,712880,970.6,1253.72
node_000081,netease,712880,700.73,1021.72
node_000081,default,712880,598.06,739.87
node_000082,kuaishou,1280612,744.36,889.05
node_000082,douyin,1280612,574.86,988.98
node_000082,tencent_video,1280612,609.3,1216.43
node_000082,iqiyi,1280612,514.56,985.5
node_000082,bilibili,1280612,605.26,785.78
node_000082,netease,1280612,459.62,650.36
node_000082,default,1280612,409.0,523.45
node_000083,kuaishou,457920,915.17,1142.78
node_000083,douyin,457920,888.84,1239.27
node_000083,tencent_video,457920,703.19,1277.15
node_000083,iqiyi,457920,614.87,1201.94
node_000083,bilibili,457920,699.36,1108.3
node_000083,netease,457920,524.37,945.48
node_000083,default,457920,490.63,555.88
node_000084,kuaishou,1891591,1002.14,1093.59
node_000084,douyin,1891591,817.7,1224.34
node_000084,tencent_video,1891591,652.42,1716.16
node_000084,iqiyi,1891591,641.3,1323.1
node_000084,bilibili,1891591,707.19,1049.28
node_000084,netease,1891591,585.47,869.2
node_000084,default,1891591,519.76,656.87
node_000085,kuaishou,390350,926.31,848.15
node_000085,douyin,390350,843.87,1124.05
node_000085,tencent_video,390350,699.44,1349.16
node_000085,iqiyi,390350,571.97,1134.52
node_000085,bilibili,390350,740.23,843.02
node_000085,netease,390350,583.31,709.84
node_000085,default,390350,481.24,517.5
node_000086,kuaishou,362329,997.04,1085.07
node_000086,douyin,362329,865.47,1269.33
node_000086,tencent_video,362329,866.82,1536.65
node_000086,iqiyi,362329,746.82,1312.19
node_000086,bilibili,362329,848.11,1184.49
node_000086,netease,362329,654.85,941.28
node_000086,default,362329,543.65,659.83
node_000087,kuaishou,2029070,858.92,1197.14
node_000087,douyin,2029070,781.74,1339.07
node_000087,tencent_video,2029070,718.32,1421.0
node_000087,iqiyi,2029070,619.91,1395.31
node_000087,bilibili,2029070,726.16,1104.01
node_000087,netease,2029070,578.34,982.95
node_000087,default,2029070,460.51,723.68
node_000088,kuaishou,339348,1112.24,1191.26
node_000088,douyin,339348,943.13,1314.26
node_000088,tencent_video,339348,883.58,1815.02
node_000088,iqiyi,339348,773.31,1498.42
node_000088,bilibili,339348,907.39,1177.73
node_000088,netease,339348,641.08,930.65
node_000088,default,339348,618.0,616.86
node_000089,kuaishou,518875,942.97,964.08
node_000089,douyin,518875,835.49,1220.47
node_000089,tencent_video,518875,672.36,1389.61
node_000089,iqiyi,518875,563.43,1038.98
node_000089,bilibili,518875,649.45,1047.98
node_000089,netease,518875,533.67,866.72
node_000089,default,518875,430.03,632.03
node_000090,kuaishou,1572131,857.68,954.76
node_000090,douyin,1572131,903.27,1199.75
node_000090,tencent_video,1572131,669.91,1266.65
